,X,y
0,[-0.19381206 -0.32601248  0.2845701   1.07144284  0.06672633 -1.35430788],1
1,[-0.58845735  0.11926559  0.03742744  1.295088   -0.20149168 -0.96291259],1
2,[ 0.33091554 -0.85082059 -0.11779607  0.97950238  0.17571149 -1.44410135],1
3,[ 0.02691125 -0.42132539 -0.2467034   1.08874374  0.14951723 -1.26821006],1
4,[-0.11315091 -0.25562772 -0.03414648  1.14150187 -0.02281156 -1.1250753 ],1
5,[-0.55640794 -0.38947598 -0.3709789   1.13668676 -0.17283173 -0.95568027],0
6,[-0.22748353  0.04878755  0.40250829  1.13789258 -0.01035241 -1.21901091],1
7,[ 1.29348656 -0.54097298 -0.04481492  1.35156319 -0.31050529  0.38213795],0
8,[-0.41794633 -0.23844144 -0.45926155  1.11525721  0.19303576 -0.93711342],0
9,[-0.3759647  -0.72359744 -0.36486389  1.09793263  0.0413963  -1.18788434],1
10,[-0.45377458 -0.09662315  0.17111554  1.00876188  0.06704014 -1.32540051],1
11,[ 0.28773742 -0.0311011  -0.15947983  1.122353    0.11024154 -0.44084375],0
12,[ 0.72460713  0.52329358 -0.25138788  1.14224692  0.0681065  -1.18434246],1
13,[-0.11810069 -0.5406902  -0.08109334  1.11229634  0.05045306 -1.25532783],1
14,[ 1.03555063 -0.04735972 -0.44531425  1.03557893  0.14880565 -1.32542901],1
15,[ 0.0526266  -0.37091696  0.39824542  1.2262756  -0.20611967 -0.34202837],0
16,[-0.71210552 -0.4948561  -0.38519734  1.06248214 -0.320988   -0.81581543],0
17,[-0.43942085  0.12916325  0.38242184  1.23382787 -0.10404116 -1.01363128],1
18,[-0.62406661 -0.35335409 -0.19209511  1.2762908   0.07664236 -0.92644778],0
19,[-0.08071143 -1.03277204 -1.35855646  1.29256066  0.08319759 -0.87892979],0
20,[-0.09430934 -0.17407839 -0.02036305  1.00542488  0.10388434 -1.3070307 ],1
21,[-0.59006669 -0.2840376  -0.17022073  0.99098583  0.02864782 -1.19434155],1
22,[-0.1942602  -1.01866702 -0.61213577  1.09928528  0.06863433 -1.27445651],1
23,[ 0.775335   -0.04308781 -0.77396313  1.16728316  0.02377823 -1.05111744],0
24,[-0.13913277  0.32733364  0.01278327  1.13110491  0.0293363  -1.14047656],1
25,[-0.28460363 -0.03343809  0.02113661  1.02798535  0.04366056 -0.47057643],0
26,[-0.06714437 -0.09872118  0.01844285  1.30914091 -0.05036983 -0.70949234],0
27,[ 0.15720937  0.25164464 -0.12337301  1.17902728 -0.02786538 -1.06759533],1
28,[-0.05212564 -0.33770894 -0.12567315  1.02113549  0.12899261 -1.30135946],1
29,[-0.2842825  -0.06002643  0.38432912  1.07769393  0.01970258 -1.27406274],1
30,[-0.20498126 -0.83725345  0.63965268  1.42744145  0.65505534  0.24687078],0
31,[-0.1697131   0.21043541  0.13058629  1.21801995  0.04459093 -0.97222541],1
32,[-0.33772277 -0.12584773 -0.01475149  1.17302338 -0.08398401 -1.03666224],1
33,[-0.71044818  0.3601635   0.32172102  1.01151692 -0.06078165 -1.18701389],1
34,[-0.25307437  0.28438153  0.11962364  1.09203595  0.04631089 -1.00676966],1
35,[ 0.1713265  -0.32145054 -0.23184115  1.09169233  0.07116977 -1.25643694],1
36,[ 0.0123589  -0.58569191 -0.21220113  1.01872957  0.11100199 -1.33315564],1
37,[ 1.18189315 -0.60962645  0.70901291  0.91862528  0.24810288 -1.57079633],1
38,[-1.2278357  -0.40113383 -0.52097395  0.53158599 -0.2194258  -1.08320558],0
39,[-0.73046641 -0.02394278 -0.20000636  0.88125544 -0.13670878 -0.61476576],0
40,[-0.08623236 -0.14108588  0.14537812  1.00206904  0.13078578 -1.27091899],1
41,[-0.13174782 -0.17304858  0.02289522  1.08834229  0.11496085 -1.21486617],1
42,"[-2.25811937e-01 -2.33679107e-01  2.55375313e-04  1.15270488e+00
  7.69110569e-02 -1.14858206e+00]",1
43,[-0.16061245 -0.19375192 -0.13954508  0.8376769   0.12401672 -1.26022486],0
44,[-0.45604963 -0.48687666 -0.31008298  1.05605128  0.05994217 -1.24991635],1
45,[-0.21132612  0.02587701  0.10076013  1.18892505  0.10312729 -1.08661278],1
46,[-0.4525608  -0.3112178  -0.09904462  1.01360737 -0.22643195 -0.67157777],0
47,[-0.22930592 -0.16171177  0.05729061  1.06083199  0.02881554 -1.21803913],1
48,[-0.19894697 -0.49317168 -0.040035    1.20595091  0.09565998 -0.44888243],0
49,[ 0.00233574 -0.21169725  0.12215106  1.07103677  0.07821693 -1.32438487],1
50,[-0.68644605 -0.6308857  -0.64027178  1.0847359  -0.02154755 -1.11526337],1
51,[-0.3428821  -0.13325519  0.04473226  1.09687936  0.03614646 -1.22917857],1
52,[-0.45450386  0.18051164 -1.17354041  0.79165899 -0.29645113 -0.57614338],0
53,[-0.29915481 -0.57649633 -0.64045795  1.15109712 -0.03007497 -0.78867637],0
54,[-0.26066898 -0.04487867 -0.32588795  1.14735058  0.06937953 -1.0982475 ],0
55,[ 0.18927865  0.17900949 -0.35208447  1.14710604  0.31894419 -0.71571442],0
56,[-0.21199804 -0.56019609 -0.60109621  1.04568966  0.24350883 -1.00757595],0
57,[ 0.29478158 -0.17144659  0.12547033  1.18942278  0.67762359  0.07509796],0
58,[-0.5990165  -0.72806662 -0.78875663  1.09992026  0.2213588  -1.15580912],0
59,[ 0.16185175 -0.68789892 -0.30529833  1.26896986 -0.07124256 -0.62908942],0
60,[-0.38145187 -0.12912114 -0.09767723  1.24731628 -0.02476061 -0.61486586],0
61,[ 0.99554143 -0.30271088 -0.57407055  1.23519608 -0.18913556 -0.43572249],0
62,[-0.1374156  -0.38094597  0.00159396  0.95524926  0.13120803 -1.37967908],1
63,[-0.11120887 -0.19789086 -0.03799014  1.21249607 -0.00265422 -1.02254037],1
64,[-0.01722206 -0.9038806   0.85199148  1.08182056  0.33745511  0.53277253],0
65,[-0.58616177 -0.22370968  0.00585241  1.17661285  0.02681322 -0.51181956],0
66,[ 0.14553103 -0.29340906 -0.74282386  1.18818316 -0.01005464 -1.03791748],1
67,[-0.57552373 -0.27444947 -0.10913538  0.89764553  0.06037014 -1.33936646],1
68,[-0.15328965 -0.08314757 -0.28849051  1.03885099  0.16633002 -1.23893792],0
69,[ 0.26269456 -0.52527125 -0.06670311  1.01728828  0.15554682 -1.41676105],1
70,[-0.49845741 -1.10499806 -0.82114609  1.0792356   0.06010654 -1.13096239],1
71,[-0.25500142  0.04750054  0.34297032  1.06582853 -0.00422898 -1.22471095],1
72,[-0.2813689  -0.57446626 -0.49777263  1.15942077 -0.01284662 -1.02389057],1
73,[-0.0218615  -0.24885313 -0.12711325  1.36977671  0.13768948 -0.18582979],0
74,[-0.60164102 -0.68573671 -0.18109276  1.27632619 -0.12865384 -0.40912229],0
75,[ 0.0638411   0.28863018  0.29486731  1.26007704  0.00131918 -0.94423901],1
76,[-0.06915729 -0.25093571 -0.13676165  1.13240639  0.11711108 -1.04434666],1
77,[-0.24226146 -0.40090014 -0.14340938  0.98040844  0.12312152 -1.37231547],1
78,"[-2.77632222e-01 -5.05863930e-01  2.30947151e-04  1.14914505e+00
 -3.01070423e-02 -1.19589516e+00]",1
79,[-0.69827872  0.13344184 -0.08291962  1.11808105 -0.01809688 -0.99908142],1
80,[-0.02230581  0.03365266  0.39685742  1.18627435 -0.18618267 -0.69381225],1
